Timestamp,How much have you currently spent?,How often do you play?,What are your spending habits?,When do you usually spend(orbs) on a banner? (just any given banner in general),How fast do you complete quests,How do you go about getting orb rewards,Have you let pity rates over 4.25 die?,"There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are 2 or 1, what do you choose"
2018/03/24 1:39:20 AM EST,1,2,0,2,0,1,1,40,0,0,0
2018/03/24 1:40:24 AM EST,1,2,1,1,0,0,2,50,1,0,1
2018/03/24 1:46:20 AM EST,1,2,2,1,1,0,1,30,1,0,1
2018/03/24 1:46:37 AM EST,1,2,1,1,1,0,2,40,1,0,2
2018/03/24 2:13:10 AM EST,1,2,1,1,0,0,3,100,0,0,0
2018/03/24 2:24:36 AM EST,1,2,2,1,0,0,0,75,1,0,0
2018/03/24 2:48:56 AM EST,1,2,1,3,1,0,0,80,0,0,0
2018/03/24 3:03:46 AM EST,1,2,0,0,1,0,0,100,0,0,0
2018/03/24 3:05:02 AM EST,0,2,0,0,1,0,1,70,0,0,0
2018/03/24 3:20:52 AM EST,1,2,1,1,1,0,0,20,0,0,0
2018/03/24 3:43:51 AM EST,0,2,0,1,1,0,1,50,0,0,0
2018/03/24 4:01:42 AM EST,1,2,1,1,0,0,2,300,1,0,1
2018/03/24 4:15:58 AM EST,0,2,0,1,0,0,1,40,0,0,0
2018/03/24 4:29:53 AM EST,1,2,1,1,0,1,2,60,1,1,1
2018/03/24 4:32:31 AM EST,1,2,0,2,1,1,1,0,0,0,0
2018/03/24 4:40:12 AM EST,0,2,0,2,1,1,0,20,0,0,0
2018/03/24 4:53:27 AM EST,0,2,0,2,1,0,0,60,0,0,0
2018/03/24 4:59:40 AM EST,1,0,1,4,1,0,1,40,1,0,2
2018/03/24 5:02:37 AM EST,0,2,0,4,0,0,1,50,0,0,0
2018/03/24 5:04:38 AM EST,1,2,1,1,1,0,2,30,1,0,2
2018/03/24 5:07:20 AM EST,1,2,2,3,1,0,0,50,1,0,1
2018/03/24 5:12:41 AM EST,1,2,1,2,0,0,0,60,0,0,0
2018/03/24 5:17:22 AM EST,1,2,1,2,1,0,2,50,1,0,2
2018/03/24 5:25:38 AM EST,0,2,0,3,2,0,1,50,0,0,0
2018/03/24 5:30:25 AM EST,1,2,1,1,0,0,0,100,1,0,0
2018/03/24 5:42:44 AM EST,0,2,0,2,1,0,1,0,0,0,0
2018/03/24 5:45:03 AM EST,0,2,0,2,0,0,0,40,1,0,2
2018/03/24 5:54:09 AM EST,0,2,0,1,1,1,0,100,0,0,0
2018/03/24 6:10:44 AM EST,1,2,1,2,1,0,2,15,1,0,2
2018/03/24 6:11:49 AM EST,1,2,2,4,1,1,1,5,0,0,1
2018/03/24 6:15:40 AM EST,1,2,1,2,1,0,1,40,0,0,0
2018/03/24 6:25:35 AM EST,1,2,0,0,1,0,0,50,0,0,0
2018/03/24 6:33:08 AM EST,1,1,1,3,0,1,0,15,0,0,0
2018/03/24 6:35:01 AM EST,1,2,1,1,0,2,2,20,1,0,1
2018/03/24 6:55:24 AM EST,1,2,1,2,0,1,2,40,0,0,0
2018/03/24 7:02:15 AM EST,1,2,1,2,2,1,2,15,0,0,2
2018/03/24 7:16:49 AM EST,1,2,1,2,1,0,2,100,1,0,2
2018/03/24 7:32:37 AM EST,1,2,1,3,0,0,2,45,1,0,2
2018/03/24 7:37:16 AM EST,0,2,0,1,1,0,0,50,1,0,0
2018/03/24 7:55:48 AM EST,1,2,1,1,1,1,1,20,1,0,2
2018/03/24 8:12:56 AM EST,1,2,1,1,1,0,1,100,1,0,2
2018/03/24 8:26:46 AM EST,1,2,1,2,1,0,0,35,1,0,2
2018/03/24 8:44:11 AM EST,1,2,1,4,0,0,0,25,1,0,2
